17/11/2025,"-32.72",CHIM LAM PTY LTD          WINTHROP
17/11/2025,"-58.36",MONSTERA THAI KITCHE      CLOVERDALE
17/11/2025,"-12.45",THE SHOREHOUSE PERTH      SWANBOURNE
14/11/2025,"-7.30",SQ *GIANT COFFEE          Northbridge
14/11/2025,"-13.18",U & I Cafe                Northbridge
14/11/2025,"-14.21",Wu Tang fried chicken     Kewdale
14/11/2025,"-43.40",READING CINEMAS           SOUTH MELBOUR
13/11/2025,"-40.72",SQ *LUXURIOUS BARBER ON H West Perth
13/11/2025,"-9.50",SQ *PIETRO GELATERIA      East Victoria
13/11/2025,"-83.93",PHARM777ROKEBYRD          SUBIACO
13/11/2025,"-74.30",FARMER JACKS SUBIACO      SUBIACO
13/11/2025,"-32.64",AMPOL FORREST H 51001F    WEST PINJARRA
12/11/2025,"-16.70",SQ *TOTALLY RENDANG       West Perth
11/11/2025,"2215.00",PAYMENT - THANKYOU
11/11/2025,"-21.22",Wild Hop Brewing Co       Yallingup
11/11/2025,"-55.59",Wild Hop Brewing Co       Yallingup
11/11/2025,"-11.12",Wild Hop Brewing Co       Yallingup
11/11/2025,"-68.05",7-ELEVEN 3096             DUNSBOROUGH
10/11/2025,"-23.90",LS ALFA OMEGA PTY LTD     West Perth
10/11/2025,"-54.86",HBF HEALTH LIMITED        PERTH
10/11/2025,"-16.00",Let's Eat                 West Perth
07/11/2025,"-6.80",SQ *GIANT COFFEE          Northbridge
07/11/2025,"-54.54",SQ *POPO LEE              1800595310
06/11/2025,"-61.15",AMPOL FORREST H 51001F    WEST PINJARRA
05/11/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
05/11/2025,"-16.45",KFC PINJARRA              PINJARRA
05/11/2025,"-17.85",MCDONALDS VASSE           VASSE
05/11/2025,"-66.68",BP BALDIVIS SB 7374       BALDIVIS
03/11/2025,"-60.73",FARMER JACKS SUBIACO      SUBIACO
03/11/2025,"-74.99",IINET LTD N               SYDNEY
03/11/2025,"-194.58",KANPAI (AUS) P/L          VICTORIA PARK
30/10/2025,"-238.27",SINGAPORE MARATHON        SINGAPORE  195.00  SGD 8.06 AUD
30/10/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
29/10/2025,"-15.99",Spotify P3BDB53F91        Sydney
29/10/2025,"-30.00",MCDONALDS PERTH AIR       PERTH AIRPORT
28/10/2025,"-19.06",SQ *SIPRA KEBAB AND GRILL West Perth
27/10/2025,"-54.86",HBF HEALTH LIMITED        PERTH
27/10/2025,"-0.50",SEON & JEONG (WA)         VICTORIA PARK
27/10/2025,"-56.81",SEON & JEONG (WA)         VICTORIA PARK
23/10/2025,"-259.60",TRANSPORT WA PERTH        PERTH
22/10/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
22/10/2025,"-1.49",APPLE.COM/BILL            SYDNEY
21/10/2025,"-102.28",UBER *EATS HELP.UBER.COM  Sydney
20/10/2025,"-62.12",WWW.CHERRY* CHERRY AND    WEST PERTH
20/10/2025,"-3.68",EasyPark                  PRAHRAN
20/10/2025,"-89.06",PHO THANH DAT PTY LTD     Northbridge
20/10/2025,"-30.00",Let's Eat                 West Perth
17/10/2025,"-41.90",FARMER JACKS SUBIACO      SUBIACO
16/10/2025,"-21.99",Dominos Estore West Perth dominos.com.a
15/10/2025,"-29.90",MCDONALDS JOLIMONT        JOLIMONT
15/10/2025,"-164.40",PREGO CAFE RESTAURAN      FLOREAT
14/10/2025,"-16.81",SQ *SIPRA KEBAB AND GRILL West Perth
14/10/2025,"-8.02",Chaffic Forrest Chase     Perth
14/10/2025,"-7.40",BENTLEY IGA               BENTLEY
13/10/2025,"2000.00",PAYMENT - THANKYOU
13/10/2025,"-40.19",BACETTO PIZZA             BENTLEY
13/10/2025,"-80.22",LS DE BHATTI RESTAURAN    Mount Lawley
13/10/2025,"-54.86",HBF HEALTH LIMITED        PERTH
13/10/2025,"-50.00",EDWARDOROKEBYFLORIST      SUBIACO
13/10/2025,"-62.59",WEI'S DUMPLING HUT        SUBIACO
13/10/2025,"-24.90",Uniqlo Perth              Perth
10/10/2025,"-15.79",SQ *SIPRA KEBAB AND GRILL West Perth
10/10/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
09/10/2025,"-23.35",CHICKEN RICE CORNER VI    EAST VICTORIA
08/10/2025,"-33.00",FARMER JACKS SUBIACO      SUBIACO
07/10/2025,"-68.90",Reddy Express 6913        Perth West
07/10/2025,"-10.64",T4 Victoria Park          East Victoria
07/10/2025,"-28.32",SQ *KUAFOOD PERTH         East Victoria
06/10/2025,"-8.62",The Trustee For Benoz     Northbridge
06/10/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
06/10/2025,"-27.30",SQ *LOUDER LOUDER         Northbridge
06/10/2025,"-17.74",FRESH PROVISIONS MT LA    MOUNT LAWLEY
06/10/2025,"-95.50",SQ *HOUSE OF PHO          Mount Lawley
06/10/2025,"-74.99",IINET LTD N               SYDNEY
06/10/2025,"-18.62",TIEN TIEN YOGURT PL       EAST VICTORIA
06/10/2025,"-50.95",TS/Ayam Penyet Ria - V    Victoria
02/10/2025,"-50.81",Hao Szechuan/1514 Albany  Beckenham
02/10/2025,"-6.80",SQ *GIANT COFFEE          Northbridge
02/10/2025,"-2.03",Hao Szechuan/1514 Albany  Beckenham
01/10/2025,"-36.74",1982 FOOD AND COFFEE      SUBIACO
01/10/2025,"-30.82",TS/Ayam Penyet Ria - V    Victoria
30/09/2025,"-15.99",SPOTIFY                   SYDNEY
29/09/2025,"-87.67",FARMER JACKS SUBIACO      SUBIACO
29/09/2025,"-54.86",HBF HEALTH LIMITED        PERTH
29/09/2025,"-5.40",SQ *CHARLIE BOY COFFEE    Northbridge
29/09/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
29/09/2025,"-20.89",SQ *SIPRA KEBAB AND GRILL West Perth
29/09/2025,"-21.90",LS ALFA OMEGA PTY LTD     West Perth
26/09/2025,"-6.80",SQ *GIANT COFFEE          Northbridge
26/09/2025,"-19.00",SQ *PIETRO GELATERIA      East Victoria
26/09/2025,"-5.90",TS/Ayam Penyet Ria - V    Victoria
26/09/2025,"-59.39",TS/Ayam Penyet Ria - V    Victoria
24/09/2025,"-40.80",FARMER JACKS SUBIACO      SUBIACO
24/09/2025,"-67.63",AMPOL SUBIACO             SUBIACO
24/09/2025,"-23.10",MCDONALDS JOLIMONT        JOLIMONT
23/09/2025,"-58.25",SQ *PHO NGUYEN VIC PARK W East Victoria
22/09/2025,"-17.70",SQ *TOTALLY RENDANG       West Perth
22/09/2025,"-14.18",Juanita's Bar             Subiaco
22/09/2025,"-1.49",APPLE.COM/BILL            SYDNEY
22/09/2025,"-5.50",SQ *PARKSIDE COFFEE       Perth
22/09/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
19/09/2025,"-52.53",WEI'S DUMPLING HUT        SUBIACO
18/09/2025,"-8.60",WOOLWORTHS/SUBIACO SQR S/ SUBIACO
18/09/2025,"-54.00",IKEA PERTH                INNALOO
18/09/2025,"-2.50",IKEA PERTH                INNALOO
17/09/2025,"-280.00",2026 SYDNEY MARATHON      SYDNEY
17/09/2025,"-19.50",READING CINEMAS           BELMONT
16/09/2025,"-81.28",SQ *TRAIN TO POCHA        1800595310
15/09/2025,"1700.00",PAYMENT - THANKYOU
15/09/2025,"-62.36",Reddy Express 6913        Perth West
15/09/2025,"-34.97",WOOLWORTHS/335 HIGH RD CN RIVERTON
15/09/2025,"-54.86",HBF HEALTH LIMITED        PERTH
15/09/2025,"-46.74",PETRA CAFE                Victoria Park
15/09/2025,"-63.01",WOOLWORTHS/CAROUSEL S/C 1 CANNINGTON
15/09/2025,"-42.40",READING CINEMAS           SOUTH MELBOUR
15/09/2025,"-18.35",MCDONALDS JOLIMONT        JOLIMONT
12/09/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
12/09/2025,"-16.81",SQ *SIPRA KEBAB AND GRILL West Perth
10/09/2025,"-48.11",FARMER JACKS SUBIACO      SUBIACO
09/09/2025,"-102.00",SP PRECISION FUEL HYDR    ARUNDEL
09/09/2025,"-21.72",SUBI FISH N CHIPS         SUBIACO
09/09/2025,"-30.53",STEAM PURCHASE            SEATTLE
08/09/2025,"-20.89",SQ *SIPRA KEBAB AND GRILL West Perth
05/09/2025,"-19.04",SQ *KYOTO GARDEN          Kardinya
05/09/2025,"-46.19",SQ *KYOTO GARDEN          Kardinya
05/09/2025,"-5.00",SQ *FRANCISCANS SOCIAL CL Northbridge
05/09/2025,"-6.40",SQ *CHARLIE BOY COFFEE    Northbridge
05/09/2025,"-62.97",FARMER JACKS SUBIACO      SUBIACO
03/09/2025,"-74.99",IINET LTD N               SYDNEY
03/09/2025,"-6.50",GI PABLA PTY LTD          RIVERTON
03/09/2025,"-52.00",HANOZE PARK PTY LTD       PERTH
03/09/2025,"-22.60",MCDONALDS JOLIMONT        JOLIMONT
02/09/2025,"-41.04",WOOLWORTHS/335 HIGH RD CN RIVERTON
02/09/2025,"-64.94",SUSHIHIRO MARION PTY      Oaklands Park
01/09/2025,"-58.87",LIttle Magic Momo         Wembley
01/09/2025,"-54.86",HBF HEALTH LIMITED        PERTH
01/09/2025,"-13.99",SPOTIFY                   SYDNEY
28/08/2025,"-53.88",CHEMIST WAREHOUSE         VICTORIA PARK
27/08/2025,"-7.08",Torochi                   Victoria Park
27/08/2025,"-7.46",WOOLWORTHS/VICTORIA PARK  VICTORIA PARK
27/08/2025,"-51.80",286Pin* DapurVanJava      Perth
27/08/2025,"-11.11",CPP ROE STREET            NORTHBRIDGE
27/08/2025,"-54.59",FARMER JACKS SUBIACO      SUBIACO
26/08/2025,"-72.43",VIBE SUBIACO              SUBIACO
25/08/2025,"-42.31",TS/Ayam Penyet Ria - V    Victoria
25/08/2025,"-1.49",APPLE.COM/BILL            SYDNEY
25/08/2025,"-55.57",FARMER JACKS SUBIACO      SUBIACO
22/08/2025,"-6.10",SQ *GIANT COFFEE          Northbridge
20/08/2025,"-27.84",MCDONALDS JOLIMONT        JOLIMONT
20/08/2025,"-47.60",TS/Ayam Penyet Ria - V    Victoria
20/08/2025,"-5.19",FARMER JACKS SUBIACO      SUBIACO
19/08/2025,"-7.63",STEAM PURCHASE            SEATTLE
19/08/2025,"-90.94",LS Khmer Empire PTY LT    Maylands
19/08/2025,"-11.11",CPP STATE LIBRARY         PERTH
18/08/2025,"-13.21",SQ *FOAM TRIGG            Trigg
18/08/2025,"-18.29",SQ *DONUT WORRY NORTHBRID Northbridge
18/08/2025,"-54.86",HBF HEALTH LIMITED        PERTH
18/08/2025,"-5.70",SQ *CHARLIE BOY COFFEE    Northbridge
18/08/2025,"-18.00",MCDONALDS DT 1488         KARAWARA
18/08/2025,"-63.48",THE SUNMOS TRUST          NORTHBRIDGE
15/08/2025,"-5.70",SQ *GIANT COFFEE          Northbridge
13/08/2025,"-33.79",ROKEBYGP                  SUBIACO
12/08/2025,"-6.50",GI PABLA PTY LTD          RIVERTON
11/08/2025,"2450.00",PAYMENT - THANKYOU
11/08/2025,"-26.26",SUSHIHIRO MARION PTY      Oaklands Park
11/08/2025,"-18.00",BWS LIQUOR/335 HIGH RD CN RIVERTON
11/08/2025,"-34.74",WOOLWORTHS/335 HIGH RD CN RIVERTON
11/08/2025,"-19.21",SMP*Is Donburi Dining     Northbridge
11/08/2025,"-6.60",SQ *GIANT COFFEE          Northbridge
11/08/2025,"-18.00",Hungry Jacks              Claremont
11/08/2025,"-47.97",AMPOL SUBIACO             SUBIACO
08/08/2025,"-18.37",FARMER JACKS SUBIACO      SUBIACO
07/08/2025,"-3.00",SP 391 ALBANY HWY         VICTORIA PARK
06/08/2025,"-14.78",SQ *SIPRA KEBAB AND GRILL West Perth
